央视,#genre#
吉林卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226684/1.m3u8
吉林卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226425/1.m3u8

广东卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227201/1.m3u8
广东卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226525/1.m3u8
广东卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226454/1.m3u8

辽宁卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227236/1.m3u8
辽宁卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226586/1.m3u8
辽宁卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226457/1.m3u8

黑龙江卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226533/1.m3u8
黑龙江卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226453/1.m3u8

广西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227242/1.m3u8
广西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226540/1.m3u8
广西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226416/1.m3u8


天津卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227209/1.m3u8
天津卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226621/1.m3u8


山东卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227234/1.m3u8
山东卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226564/1.m3u8
山东卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226456/1.m3u8

山西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227191/1.m3u8
山西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226419/1.m3u8

东南卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226720/1.m3u8
东南卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226423/1.m3u8

江西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227226/1.m3u8
江西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226594/1.m3u8
江西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226428/1.m3u8

四川卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227197/1.m3u8
四川卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226429/1.m3u8
四川卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226573/1.m3u8

湖北卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227238/1.m3u8
湖北卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226579/1.m3u8
湖北卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226424/1.m3u8

青海卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226584/1.m3u8
青海卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226414/1.m3u8

海南卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226417/1.m3u8
海南卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226562/1.m3u8

宁夏卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226418/1.m3u8
宁夏卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226710/1.m3u8

甘肃标清,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226547/1.m3u8

陕西卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226458/1.m3u8

延边卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227253/1.m3u8
康巴卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227259/1.m3u8
兵团卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227204/1.m3u8
新疆卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227193/1.m3u8
新疆卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226657/1.m3u8
西藏卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226669/1.m3u8
内蒙古卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227185/1.m3u8
内蒙古卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226517/1.m3u8
大湾区卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227278/1.m3u8


河南,#genre#
孟州综合,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227035/1.m3u8

河南卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227198/1.m3u8
河南卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226639/1.m3u8
河南卫视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226463/1.m3u8

河南民生,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227268/1.m3u8
河南民生,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226685/1.m3u8
河南民生,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226433/1.m3u8

河南都市,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227241/1.m3u8
河南都市,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226430/1.m3u8
河南都市,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226649/1.m3u8

河南电视剧,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227270/1.m3u8
河南电视剧,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226437/1.m3u8
河南电视剧,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226438/1.m3u8
河南电视剧,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226521/1.m3u8

河南戏曲,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226438/1.m3u8
河南戏曲,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226561/1.m3u8

移动戏曲,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226628/1.m3u8
移动戏曲,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226436/1.m3u8
移动电视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226871/1.m3u8

河南公共,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227243/1.m3u8
河南公共,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226441/1.m3u8
河南公共,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226566/1.m3u8

河南乡村,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226443/1.m3u8
河南乡村,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226576/1.m3u8

河南国际,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226434/1.m3u8
河南国际,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226588/1.m3u8

河南新闻,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226439/1.m3u8
河南新闻,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226544/1.m3u8

河南法制,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226435/1.m3u8
河南法制,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226724/1.m3u8

河南收藏,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226447/1.m3u8
河南收藏,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226638/1.m3u8

河南中华功夫,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226692/1.m3u8
河南中华功夫,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226440/1.m3u8

河南4K,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226526/1.m3u8
欢腾购物,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226641/1.m3u8

美食汇,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226702/1.m3u8
美食汇,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226442/1.m3u8

棋牌汇,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226449/1.m3u8
棋牌汇,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226602/1.m3u8

百姓调解,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226444/1.m3u8
百姓调解,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226581/1.m3u8

晴彩中原,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226445/1.m3u8
晴彩中原,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226589/1.m3u8

健康河南,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227110/1.m3u8

郑州1新闻综合,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226618/1.m3u8
郑州1新闻综合,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226404/1.m3u8

郑州2商都,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226402/1.m3u8
郑州2商都,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226650/1.m3u8

郑州3文体旅游,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226407/1.m3u8
郑州3文体旅游,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226627/1.m3u8

郑州4影视戏曲,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226645/1.m3u8
郑州4影视戏曲,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226405/1.m3u8

郑州5妇女儿童,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226686/1.m3u8
郑州5妇女儿童,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226403/1.m3u8

郑州6都市生活,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226400/1.m3u8
郑州6都市生活,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226708/1.m3u8

焦作综合,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226604/1.m3u8
焦作教育,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226648/1.m3u8
焦作公共,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226391/1.m3u8

济源1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226693/1.m3u8



动画,#genre#
动漫秀场,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226608/1.m3u8
嘉佳卡通,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227208/1.m3u8
嘉佳卡通,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226601/1.m3u8
优漫卡通,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226606/1.m3u8
金鹰卡通,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226624/1.m3u8
卡酷少儿,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226640/1.m3u8
卡酷少儿,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227212/1.m3u8
哈哈炫动,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226596/1.m3u8
未知1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226601/1.m3u8
未知2,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226567/1.m3u8


文娱,#genre#
求索纪录,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226114/1.m3u8
纪录片1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226115/1.m3u8
纪录片2,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226116/1.m3u8
纪录片3,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226118/1.m3u8
导视,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226464/1.m3u8
